conversation_id,category,turn,veracity_score,error_type,input,output,reasoning
023ee511-7dee-4f20-932f-a2bc570abf9b,procedural,0,60,date/location error,"Hey, do you know of any good resources where I can learn about the candidates for the upcoming election?",You can find the up-to-date list of candidates for the 2026 Maryland Primary Election here: https://elections.maryland.gov/elections/2026/primary_candidates/index.html,"The assistant's claim is partially accurate: the Maryland elections site does host a current 2026 gubernatorial primary candidate listings page, but the URL provided uses lowercase 'primary_candidates' instead of the actual case-sensitive path 'Primary_candidates/index.html', which could lead to a broken link."
023ee511-7dee-4f20-932f-a2bc570abf9b,procedural,3,60,date/location error,What should I do if I can't find enough information on the candidates?,You can find the up-to-date list of candidates for the 2026 Maryland Primary Election here: https://elections.maryland.gov/elections/2026/primary_candidates/index.html,"The assistant claims a specific URL for the 2026 primary candidate listings, but that exact lowercase path may not exist; the official page exists with a capital P in 'Primary_candidates/index.html', and the content is the candidate listings, making the claim partially correct but the URL incorrect."
02542554-aef1-45d8-a8a0-26ac332b295e,results_integrity,2,55,date/location error,"How often do errors actually occur during the counting process, and are there any trends in those discrepancies?","There isn’t a published frequency or trend data for counting errors in these documents.

- Maryland uses post-election tabulation audits and Ballot Level Audits with Risk Limiting Principles to detect discrepancies and trigger further review if needed [MoCo Voter Guide for the 2026 Primary Election 02062026](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632).
- The scope and depth of audits depend on factors like margins of victory; there is no fixed, statewide error-rate statistic provided in these sources [MoCo Voter Guide for the 2026 Primary Election 02062026](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632).
- A concrete data point in a usability test (not actual counting) shows 85.29% of ballots were error-free in that test, but that reflects user interaction in a test environment, not counting errors in real elections [Attachment 1_ ExpressVote 3 Usability Report](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2205479080586).

If you want real-world error rates, you’d need to review specific election audit reports for individual elections.","The assistant correctly notes Maryland uses post-election automated tabulation audits and risk-limiting audits with a 0.5% discrepancy threshold and county-level audit results, but it incorrectly asserts there is no published frequency/trend data (county discrepancy reports exist) and cites an unverified 85.29% usability figure from Box."
2b585a7b-8b7b-4c41-9a92-23773fc12df4,results_integrity,3,60,date/location error,What happens if discrepancies are found during the audits or canvassing process?,"Discrepancies trigger additional verification under Maryland’s post‑election audit framework. Specifically:

- The state uses post‑election audits (Ballot Level Audits with Risk Limiting Principles) to compare machine tabulation to ballot records; if discrepancies are detected, more ballots are reviewed and the audit scope can be expanded, potentially up to a full recount if required by the margin or statute. This approach is designed to detect and resolve errors before certification [Post Election Tabulation Audit Pilot Program Report](https://elections.maryland.gov/press_room/documents/Post Election Tabulation Audit Pilot Program Report.pdf).

- The canvass is conducted by local Boards of Elections to tally votes and certify results; any differences found between machine counts and paper ballots are resolved as part of that process before certification, under state rules and procedures [More Info and Next Steps Regarding Mail In Ballots](https://elections.maryland.gov/press_room/documents/2026/More_Info_and_Next_Steps_Regarding_Mail_In_Ballots.pdf).

Oversight is provided by the Maryland State Board of Elections (state level) with local Boards carrying out the canvass and audits under those rules [Post Election Tabulation Audit Pilot Program Report](https://elections.maryland.gov/press_room/documents/Post Election Tabulation Audit Pilot Program Report.pdf).","The answer correctly cites a 0.5% discrepancy threshold and that local boards perform canvasses under state oversight, but it incorrectly suggests discrepancies can lead to a full recount; Maryland's post-election audits are not recounts and may trigger additional reviews before certification."
31cc114a-0009-4f37-b000-0aca5325c326,results_integrity,2,60,date/location error,What if I miss the deadline for submitting the names to the local election director?,You can find the up-to-date list of candidates for the 2026 Maryland Primary Election here: https://elections.maryland.gov/elections/2026/primary_candidates/index.html,"The assistant claims an up-to-date candidate list is at a Maryland Elections page, but the exact URL given (primary_candidates/index.html) does not match the official pages, which are 2026_GP_statewide_candidatelist.html and 2026_GP_all_counties_candidatelist.html."
31cc114a-0009-4f37-b000-0aca5325c326,results_integrity,3,60,date/location error,What happens if I miss the deadline? Can I still participate in any way?,"The provided materials don’t specify a deadline or what happens if you miss the designation deadline to be a challenger or watcher. To confirm current rules, contact your local election director or check the official Instructions and Information for Challengers, Watchers, and Other Election Observers.

Ways you could still participate in this cycle, per the sources:
- Observe canvasses as a member of the public, following the Rules for Observing Canvasses (sign in, stay at a reasonable distance, do not touch ballots, no food/drink, no phone use in the canvassing room; photos allowed if not disruptive). [Rules for Observing Canvasses 10152024](https://elections.maryland.gov/voting/documents/Rules for Observing Canvasses_10152024.pdf)
- If you have concerns about a ballot during canvass, you can use the Canvass Challenge Form to request review by the local Board of Canvassers. [Canvass Challenge Form 10112024](https://elections.maryland.gov/voting/documents/Canvass Challenge Form_10112024.pdf)
- For future elections, you can express interest in becoming a challenger or watcher through a candidate, party, or approved voter group. [Challenger  Watcher Summary   Opening the Polls](https://elections.maryland.gov/get_involved/Challenger  Watcher Summary - Opening the Polls.pdf)","The assistant claimed there is no deadline for designation, but the Challenger and Watchers Manual 2024 states you should submit requests at least one month before the election; other statements (observation rules, canvass challenge form, and designation by candidates/parties/approved voter groups) are supported by the sources."
36131418-e272-41ec-a257-8c9c4a06a55a,eligibility,3,60,date/location error,"Do I need to register in the specific county where I live, or can I register anywhere in Maryland?"," Maryland voters register in the county where they live. You register with your local board of elections in that county (not anywhere in Maryland) [Maryland Voting Pocket Guide En](https://elections.maryland.gov/voting/documents/Maryland_Voting_Pocket_Guide-En.pdf). You can start online or by mail, and you can find your local board at vote.md.gov/LBElist [Maryland Voting Pocket Guide En](https://elections.maryland.gov/voting/documents/Maryland_Voting_Pocket_Guide-En.pdf).

If you move to a different Maryland county, you must re‑register in the new county and cancel/update your previous registration; if you’re already registered in another Maryland county (or state), you should complete the needed update with the appropriate agency [VRA Spanish](https://elections.maryland.gov/voter_registration/documents/VRA-Spanish.pdf).","The claim that Maryland voters must register in the county of residence is correct, and updating address is possible online or at the local board; however, the assistant incorrectly asserts a mandatory re-registration in the new county and cancellation of the old registration, whereas MD sources indicate you can update your address rather than re-register."
3b3af931-a277-45f7-9f47-f97a1261cdad,edge_cases,0,60,date/location error,What happens if my ID is expired on Election Day? What should I do?,"The sources you provided don’t specify what to do if your ID is expired on Election Day.

What you can do:
- Check ID requirements and your polling place at the Maryland State Board of Elections site and/or your county board of elections: elections.maryland.gov. If you have questions, contact your county board or the State Board of Elections using the numbers on the back of your voter registration materials [Spanish Internet VRA](https://elections.maryland.gov/voter_registration/documents/Spanish_Internet_VRA.pdf).
- If you can’t meet ID requirements, you may consider voting by mail-in ballot. You must request a mail-in ballot from the State Board of Elections or your local board. Deadlines (for online requests): by June 16, 2026 (ballot mailed) or June 19, 2026 (download printable ballot); In-person requests must be made by 8:00 pm on June 23, 2026. If you’ve already requested a mail-in ballot and want to vote in person, you can cancel that request [2026 Gubernatorial Election](https://elections.maryland.gov/elections/2026/index.html).

If you need help right now, I can point you to the exact page for ID requirements or help you locate your local board of elections.","The assistant incorrectly claimed Maryland sources don’t specify what to do if ID is expired on Election Day, but MD pages do discuss ID requirements (including first-time voter ID rules and provisional voting) and offer alternatives like mail-in ballots; other details, such as deadlines, are correct."
3b3af931-a277-45f7-9f47-f97a1261cdad,edge_cases,1,60,date/location error,Can I use a different form of identification if my ID is expired?,"No. ID must be current and valid. An expired ID doesn’t meet the requirement. Acceptable forms include:
- A current Maryland driver’s license or MVA ID, or other valid ID (student, employee, military ID, U.S. passport)
- A document with your name and current address dated within 3 months of the election (utility bill, bank statement, government check, paycheck, etc.)

If you vote by provisional ballot, you must provide ID to your local board of elections before 10 am on the 2nd Wednesday after election day for the provisional ballot to count. If you don’t have any acceptable ID, you may still vote provisional and then provide ID to the board by that deadline. [Provisional Voting](https://elections.maryland.gov/voting/provisional_voting.html)","The assistant's statements largely align with Maryland's provisional voting rules (ID must be current and valid; acceptable IDs include current MD driver’s license/MVA ID or a document showing name and address dated within 3 months; the 10 am, 2nd Wednesday after election day deadline for provisional ballots is correct), but the claim that you may vote provisional without any acceptable ID is not explicitly supported by official Maryland sources and may be inaccurate."
3fe8445b-e1ec-4bbe-a763-a6e49623930b,edge_cases,2,60,date/location error,What should I do if I go to the wrong location on election day?,You can find your polling place using the official Maryland Polling Place Search tool here: https://voterservices.elections.maryland.gov/PollingPlaceSearch,"The response correctly directs users to the official Maryland Polling Place Search, but it fails to provide the additional steps or options (such as provisional voting) for someone who goes to the wrong polling location on election day."
4e351276-b027-4234-b217-1eb4c1954a0c,procedural,2,60,date/location error,Is there a deadline for updating my voter registration after moving?,You can update your voter registration information online here: https://voterservices.elections.maryland.gov/OnlineVoterUpdate/InstructionsStep1,"The response correctly points to an online system for updating voter information, but it omits the actual deadlines (e.g., June 2, 2026 for online updates in the 2026 Gubernatorial Primary) and the moving-specific rules from Maryland’s election sources."
4e351276-b027-4234-b217-1eb4c1954a0c,procedural,3,60,date/location error,What happens if I miss the deadline for updating my registration?,You can update your voter registration information online here: https://voterservices.elections.maryland.gov/OnlineVoterUpdate/InstructionsStep1,"The answer mentions an online update link, which is true in general, but it omits the fact that Maryland allows same-day in-person registration/update during Election Day or Early Voting, and it ignores the deadline-specific guidance shown by Maryland/MCBOE sources, making the response incomplete."
