conversation_id,category,turn,veracity_score,error_type,input,output,reasoning
0999ec5d-4ec6-4399-9e60-7f5ec0693265,eligibility,0,40,date/location error,"Hey, I was wondering what the age requirements are to vote in the 2026 Gubernatorial Primary Election in Maryland.","To vote in the 2026 Gubernatorial Primary Election in Maryland, you must be at least 18 years old by the time of the election, which is on June 23, 2026. However, you can register to vote if you are at least 16 years old, but you won't be able to vote until you turn 18 [Introduction](https://elections.maryland.gov/voter_registration/index.html).","The claim is not fully accurate: Maryland allows 17-year-olds to vote in the 2026 primary if they will be 18 by the general election, and allows 16-year-olds to register to vote and become eligible to vote once they reach 18 by the general election; therefore, stating you must be 18 by June 23, 2026 is incomplete/incorrect."
0999ec5d-4ec6-4399-9e60-7f5ec0693265,eligibility,1,65,date/location error,Can someone who turns 18 on Election Day still vote in the primary?,"Yes, if you turn 18 on Election Day, you are eligible to vote in the primary election. You must be registered to vote by the registration deadline, but as long as you are 18 by the time you cast your ballot, you can participate in the election."," Maryland sources confirm that 17-year-olds may vote in the primary if they will be 18 by the general election, and that to vote in a primary you must be affiliated with a party; the assistant's answer only mentions age and registration deadline, omitting the crucial party-affiliation requirement."
0999ec5d-4ec6-4399-9e60-7f5ec0693265,eligibility,3,60,date/location error,What if I miss the registration deadline? Can I still vote?,"If you miss the registration deadline, you will not be able to vote in that election. However, Maryland does offer same-day registration during early voting and on Election Day, which allows you to register and vote on the same day. You will need to bring a valid form of identification and proof of residency. If you are unable to take advantage of same-day registration, you will need to wait until the next election to register and vote.","The assistant's claim that missing the registration deadline prevents voting is incorrect for the 2026 Gubernatorial Primary, since Maryland allows same-day registration during early voting (June 11–18, 2026) and on Election Day (June 23, 2026), though ID requirements apply to some first-time voters."
0999ec5d-4ec6-4399-9e60-7f5ec0693265,eligibility,4,60,date/location error,What kind of identification do I need to bring for same-day registration?,"For same-day registration in Maryland, you need to bring a document that proves where you live. Acceptable forms of identification include:

- A current and valid Maryland driver's license or MVA ID card
- A paycheck
- A bank statement
- A utility bill
- Any other government document with your name and current address

Make sure that the document you bring shows your name and the address where you are registering to vote [Introduction](https://elections.maryland.gov/voter_registration/index.html).","The answer correctly lists several SDR document options (paycheck, bank statement, utility bill, and MVA ID) but omits other valid proofs (learner's permit and change-of-address card) and fails to mention the requirement that documents be dated within 3 months of Election Day."
0d18c846-5253-4ef0-abda-da55bcf1d61b,procedural,3,60,date/location error,What happens if I miss the voter registration deadline after moving? Can I still vote?,"If you miss the voter registration deadline after moving, you may not be able to vote in the upcoming election unless Maryland allows same-day registration. Maryland does permit same-day registration during early voting and on Election Day, where you can register and vote at the same time. However, you will need to bring a valid form of identification that proves your residency. Check with your local board of elections for specific details and requirements.","The assistant correctly notes that Maryland has same-day/in-person registration during early voting and on Election Day, but it incorrectly implies missing the registration deadline would prevent voting; Maryland officially allows in-person registration on Election Day and during early voting (SDR), so the initial claim is misleading."
1c395660-e0c5-45f6-8c8d-83821f1dccf3,edge_cases,2,60,date/location error,"If I do need to challenge my registration, is there a deadline I should be aware of?",I don't have specific information about the deadlines for challenging voter registration in Maryland. I recommend checking the Maryland State Board of Elections website or contacting your local board of elections for the most accurate and up-to-date information regarding deadlines for challenging your registration. They can provide you with the necessary details and any important dates you need to be aware of.,"The assistant correctly indicated uncertainty but failed to provide the actual deadline for challenging voter registration; Maryland's Administrative Complaint Procedure requires filing within 60 days of the event or discovery, and Montgomery County official pages list an advanced registration deadline of June 2, 2026, which the answer did not state."
1c395660-e0c5-45f6-8c8d-83821f1dccf3,edge_cases,3,60,date/location error,What happens if I miss the deadline to challenge my registration? Can I still vote provisionally?,"If you miss the deadline to challenge your registration, you may still be able to vote provisionally. Provisional ballots allow you to cast your vote even if your name is not on the voter rolls or if there are questions about your eligibility. However, the provisional ballot will only be counted once your eligibility is verified by the local election board after Election Day. It's important to ensure that you follow up with the election officials to resolve any issues regarding your registration status.","Provisional voting facts in the sources confirm that provisional ballots can be used and are counted after eligibility is determined, but the specific claim that missing a 'deadline to challenge your registration' automatically allows provisional voting is not supported by the cited Maryland/Montgomery sources."
21d6c98f-427f-409e-8cd2-9e6222fdbd17,eligibility,3,60,date/location error,Are there any specific documents I need to bring or have ready when I check my voter registration status?,"When checking your voter registration status in Maryland, you typically do not need to bring any specific documents. You can check your status online by providing your name, date of birth, and county. However, if you contact your local board of elections for assistance, it may be helpful to have your identification or any relevant information about your previous registration handy.","The assistant correctly notes online status checks via Voter Lookup, but its claims that no documents are needed and that lookup requires name, date of birth, and county are not explicitly supported by Maryland sources, and its suggestion about bringing ID to the local board is not clearly documented."
292c1bae-f395-47b9-8b38-94bdd2090b9c,edge_cases,0,60,date/location error,"Hey, I just realized I might forget my ID on election day. What should I do in that case?",I don't have that information. I recommend checking the Maryland State Board of Elections website or contacting your local election office for guidance on what to do if you forget your ID on election day. They can provide the most accurate and up-to-date information regarding ID requirements and alternatives.,"The assistant correctly directs the user to official sources, but it omits Maryland's provisional voting option and the deadline to submit ID to have a provisional ballot counted, which are key facts the user needs."
292c1bae-f395-47b9-8b38-94bdd2090b9c,edge_cases,1,60,date/location error,Are there any alternative forms of identification I can use if I forget my ID?,I don't have that information. I suggest visiting the Maryland State Board of Elections website or reaching out to your local election office for details on alternative forms of identification that may be accepted if you forget your ID on election day. They will have the most accurate and relevant information for your situation.,"The assistant did not provide the actual forms of ID accepted by Maryland elections (e.g., MD driver’s license/MVA ID, passport, student/employee/military ID, or a recent utility bill/bank statement with name and address), instead offering only a generic suggestion to consult official sources."
