id,category,question,answer
rb_001,requesting_a_ballot,How do I request to receive a ballot by mail?,"If you would like to request to receive a ballot by mail, you can submit an application online at the following link: https://voterservices.elections.maryland.gov/onlinemailinrequest/InstructionsStep1"
rb_002,requesting_a_ballot,How do I get an electronic ballot?,"If you would like to request to receive a ballot by internet delivery, you can submit an application online at the following link: https://voterservices.elections.maryland.gov/onlinemailinrequest/InstructionsStep1"
rb_003,requesting_a_ballot,How do I switch from receiving a ballot by mail to receiving one by email or internet delivery?,"If you would like to request to receive a ballot by internet delivery instead of by mail, please send a note with your full name, month and day of birth (do not include the year), and the email address you would like the link to download your ballot delivered to. Please include a signature on the message. You may take a picture of the note with your cell phone and forward it to info.sbe@maryland.gov. A ballot received via internet delivery still must be printed out and mailed or dropped off at a drop off location on or before 8 PM election day, June 23rd. The voted ballot cannot be returned via fax or email, since Maryland does not allow internet voting."
rb_004,requesting_a_ballot,How can I be removed from the Permanent Mail-In List?,"The easiest way to cancel your permanent mail-in voter status is online. You can head to our Voter Registration Update Page: https://voterservices.elections.maryland.gov/onlinevoterupdate/InstructionsStep1. Enter your required information and select the green Next button. On the Voter Information Page, select Update Mail-in Ballot Option. Next, select I intend to vote in person and do not want a mail-in ballot, then click Update Mail In Ballot Option. Click Next. Finally, complete the Oath and Signature and select Submit Updates. Alternatively, email a signed note with your full name, month and day of birth (no year) requesting removal from the Permanent Mail-In Ballot list."
bde_001,ballot_documents_envelope,Can I print on both sides of the paper when printing my ballot?,"Yes - you can print two-sided as long as the pages with the ballot on it do not have any pages that include your identifying information on them, such as your oath."
bde_002,ballot_documents_envelope,Is it true that emailed ballots have to be duplicated or copied onto an official ballot?,"If you requested to receive a ballot via internet delivery, you will have to print that ballot. A ballot you printed yourself cannot be read by our scanners. A bi-partisan pair of election workers will use the information on your ballot to mark and verify an official ballot for you. The official ballot will be machine counted with other ballots. Original ballots that are sent by mail can be read by the scanning units and do not need to be transferred."
bde_003,ballot_documents_envelope,The ballot status says it was sent to my email but I have not received it.,"Your mail-in ballot status indicates that you were sent a ballot via web-delivery. Please look for an email containing the link to your web-delivered ballot, sent from MDElections.SBE@info.maryland.gov. Be sure to check your spam folder and let us know if you are still unable to locate the emailed link to your ballot. If you are still having trouble finding it, please give us your full name, month and day of birth, and the email address you have indicated in your mail-in ballot application and we will send you a PDF of your ballot."
bde_004,ballot_documents_envelope,I have not received my mail-in ballot. The website informed me that it has been delivered but I do not have it.,"Please consider visiting your local board of elections for a replacement since we cannot guarantee a mailed ballot can arrive to you in time. You can request the replacement, vote it, and return it to them while you are there."
mrb_001,marking_reviewing_ballot,I filled out my ballot in blue ink - is that okay? Do I need to request another ballot?,"While we recommend that ballots are filled out in black ink, filling it out in blue ink is fine, and you do not need to request another ballot."
mrb_002,marking_reviewing_ballot,I made a mistake on my ballot and want another one mailed to me.,"If another ballot is sent to you in the mail, it may not reach you in time. What we can do is send you a ballot via web delivery. You will be emailed a link to download and print your ballot which will need to be postmarked or dropped off by 8 pm election day, June 23, 2026. It cannot be returned by fax or email. If you would still like to get a paper ballot instead, you can pick one up in person at your local election office until 8 pm on election day."
ret_001,returning_ballot,Can someone drop off my ballot for me at a drop box or mailbox?,"There is no prohibition for a voter to request another individual to take the voter's signed and sealed completed ballot to a mailbox, a drop box, or an election office. Should the voter request assistance with marking the ballot, the voter and the person assisting the voter must complete the Certificate of Assistance that is included in the mail-in ballot package."
ret_002,returning_ballot,On the envelope do I have to include my middle name as it appears in my voter registration information?,"You can sign your name as it is listed on the return envelope. Even if you include or do not include your middle name - that is fine - it is just important that you sign the oath."
ret_003,returning_ballot,Do I need to update my signature? My signature does not look like it did several years ago when I sign now - is this a problem?,"Maryland does not use signature matching, so you do not need to have an updated signature on file. It is just important that you sign the oath."
ret_004,returning_ballot,Can I tape the envelope shut?,Yes you can use tape to seal it.
ret_005,returning_ballot,I accidentally signed my spouse's oath on their envelope. What do we do?,"You can mark out your signature, initial it, and put a short note on the envelope explaining what happened. Your spouse can then sign their envelope."
sab_001,state_of_application_ballot,Did you receive my ballot?,"You can check the status of your ballot by going to our Voter Look-up site: vote.md.gov/Search. Enter your information and select Status of My Mail-in or Provisional Ballot to view the status. It may take some time for the status to update to the site."
sab_002,state_of_application_ballot,What is my ballot's status? When will I receive it?,"Ballots are going out almost daily. You can check the status of your ballot by going to vote.md.gov/Search, entering your information, and selecting Status of My Mail-in or Provisional Ballot. Once your ballot is being prepared to be mailed or is on its way, you will see Ballot Sent. Or, if you asked to receive a ballot by web delivery, you will see Ballot Link Sent By Email as the status."
sab_003,state_of_application_ballot,I dropped my ballot off at a drop box but my status does not say Ballot Received yet. How long does this take?,"Once a ballot is received by the local election office, it must be processed. Staff are working as quickly as possible to process them. It can take time for the status to be updated online."
ipv_001,in_person_voting,Can I still vote in person if I requested a mail-in ballot?,"If you have previously requested a mail-in ballot and would like to vote in person, you will need to cancel your mail-in ballot. The easiest way to cancel your mail-in ballot request is online via the Voter Registration Update Page. Alternatively, email a signed note requesting cancellation. You can vote at the polls in person, but you will have to vote a provisional ballot since records will indicate you were already issued a ballot. If you are going to the polls to vote, make sure you do not return your mail-in ballot."
